[2024-11-23 14:59:51.032] [info]  DiscordSplash.signalReady
[2024-11-23 14:59:51.082] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-11-23 14:59:51.082] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-11-23 14:59:51.084] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-11-23 14:59:51.084] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-11-23 14:59:51.085] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-11-23 14:59:51.085] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-11-23 14:59:51.085] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-11-23 14:59:51.086] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-11-23 14:59:51.086] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-11-23 14:59:51.086] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-11-23 14:59:51.086] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-11-23 14:59:51.087] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-11-23 14:59:51.087] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-11-23 14:59:51.087] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-11-23 14:59:51.297] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-11-23 14:59:51.298] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-11-23 14:59:51.627] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-11-23 14:59:51.628] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-11-23 14:59:51.637] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-11-23 14:59:51.638] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-11-23 14:59:51.704] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-11-23 14:59:51.704] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-11-23 14:59:51.824] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-11-23 14:59:51.825] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-11-23 14:59:51.871] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-11-23 14:59:51.872] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-11-23 14:59:51.875] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-11-23 14:59:51.876] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-11-23 14:59:51.949] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-11-23 14:59:51.950] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2024-11-23 14:59:51.959] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-11-23 14:59:51.960] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-11-23 14:59:51.961] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-11-23 14:59:51.962] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-11-23 14:59:52.000] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-11-23 14:59:52.001] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2024-11-23 14:59:52.021] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-11-23 14:59:52.022] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-11-23 14:59:52.028] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2024-11-23 14:59:52.029] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
